Date,Transaction status,Transaction type,Order ID,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (EUR)
16/02/2025,Released,Order Payment,404-8419370-9945960,Fragrance World Cherry Incense Acqua Pro...,20.49,-1.09,-8.88,5.6,16.12
16/02/2025,Released,Order Payment,405-9704747-9672333,Spray Yara 100ml,24.84,0,-9.95,5.47,20.36
16/02/2025,Released,Order Payment,404-1651582-4306703,Spray Yara 100ml,24.82,0,-9.94,5.46,20.34
16/02/2025,Released,Order Payment,405-2034600-5469110,Spray Yara 100ml,24.78,0,-13.28,9.44,20.94
16/02/2025,Released,Order Payment,408-0708693-8001964,Spray Yara 100ml,24.78,-1.64,-9.93,7.09,20.3
16/02/2025,Released,Order Payment,404-0356985-0289903,Spray Yara 100ml,24.8,-1.64,-9.94,7.09,20.31
16/02/2025,Released,Order Payment,404-5454315-8076325,Spray Yara 100ml,26.34,0,-10.23,5.79,21.9
16/02/2025,Released,Order Payment,405-3808480-0693115,Spray Yara 100ml,24.81,0,-9.94,5.46,20.33
16/02/2025,Released,Order Payment,405-9773211-7909959,Spray Yara 100ml,24.55,0,-9.89,5.4,20.06
16/02/2025,Released,Order Payment,408-1241613-2173130,Fragrance World Cherry Incense Acqua Pro...,20.49,0,-9.14,4.51,15.86
16/02/2025,Released,Order Payment,402-6645444-3476342,Spray Yara 100ml,24.18,0,-9.83,5.32,19.67
15/02/2025,Deferred,Refund,408-7460325-1696301,Ramadan24 Eternal Oud Eau de Parfum Latt...,-23.77,0,3.57,-5.23,-25.43
15/02/2025,Released,Order Payment,407-5964894-9633169,Spray Mohra 100ml,18.23,0,-8.72,4.01,13.52
15/02/2025,Released,Order Payment,402-7645801-9833920,Vaniglia Tobacco by Fragrance World for ...,24.02,0,-9.54,5.28,19.76
15/02/2025,Released,Order Payment,408-7914178-7510743,Spray Yara 100ml,24.67,0,-9.92,5.43,20.18
15/02/2025,Released,Order Payment,407-9088170-6672350,Spray Yara 100ml,24.8,0,-9.94,5.45,20.31
15/02/2025,Released,Order Payment,406-5903073-0077150,Spray Yara 100ml,24.8,-1.64,-9.94,7.1,20.32
15/02/2025,Deferred,Order Payment,403-9625248-8593937,Spray Yara 100ml,24.89,0,-9.96,5.48,20.41
15/02/2025,Released,Order Payment,404-4727159-5774718,Spray Yara 100ml,24.83,0,-9.94,5.46,20.35
15/02/2025,Released,Refund,171-0576877-7972321,Spray Yara 100ml,-24.18,0,3.63,-5.32,-25.87
15/02/2025,Deferred,Order Payment,405-3697639-2836361,Spray Mohra 100ml,18.15,0,-8.7,3.99,13.44
15/02/2025,Deferred,Order Payment,171-0694130-1707520,Fragrance World Cherry Incense Acqua Pro...,20.49,0,-9.14,4.51,15.86
15/02/2025,Deferred,Order Payment,405-2845326-1498704,Oud Wonder - Eau de Parfum - By Fragranc...,18.03,0,-12.03,7.42,13.42
15/02/2025,Deferred,Order Payment,406-7200660-8457903,Oud Wonder - Eau de Parfum - By Fragranc...,18.03,0,-8.68,3.97,13.32
15/02/2025,Released,Refund,404-3609773-2917939,Fragrance World Cherry Buzz,-20.66,0,3.1,-4.54,-22.1
15/02/2025,Released,Order Payment,404-3609773-2917939,Fragrance World Cherry Buzz,20.66,0,-3.86,4.54,21.34
15/02/2025,Released,Order Payment,404-6087138-2764333,Spray Yara 100ml,24.79,0,-9.94,5.45,20.3
15/02/2025,Released,Order Payment,404-9809848-3095512,Spray Yara 100ml,26.34,0,-10.23,5.79,21.9
15/02/2025,Released,Order Payment,407-6924164-9827526,Lattafa Sehr Eau de Parfum Spray for Uni...,31.14,0,-11.42,6.85,26.57
15/02/2025,Released,Order Payment,405-9025273-3417957,Ramadan24 Eternal Oud Eau de Parfum Latt...,39.34,0,-12.39,8.65,35.6
15/02/2025,Released,Order Payment,404-5054908-2380305,Spray Yara 100ml,26.36,0,-13.58,9.79,22.57
15/02/2025,Released,Order Payment,171-5583597-2097919,Spray Yara 100ml,26.17,0,-9.94,5.76,21.99
15/02/2025,Released,Order Payment,404-4261283-8138751,Spray Yara 100ml,25.95,0,-10.16,5.71,21.5
15/02/2025,Released,Order Payment,407-8526640-0829169,Spray Yara 100ml,25.1,0,-9.99,5.52,20.63
14/02/2025,Released,Order Payment,404-5605041-4934747,Spray Yara 100ml,26.35,0,-10.23,5.8,21.92
14/02/2025,Released,Order Payment,171-5821667-8917165,Fragrance World Cherry Incense Acqua Pro...,25.73,0,-9.85,5.66,21.54
14/02/2025,Released,Order Payment,407-4892859-6451521,Fragrance World Cherry Incense Acqua Pro...,20.49,0,-9.14,4.51,15.86
14/02/2025,Released,Order Payment,402-1723752-0602734,Spray Yara 100ml,26.34,0,-10.23,5.79,21.9
14/02/2025,Released,Order Payment,171-7247840-6380339,Spray Yara 100ml,24.81,0,-9.94,5.46,20.33
14/02/2025,Released,Order Payment,406-7699742-9859500,Spray Yara 100ml,24.55,0,-9.89,5.4,20.06
14/02/2025,Released,Order Payment,405-7646531-3258742,Spray Yara 100ml,26.47,0,-10.25,5.82,22.04
14/02/2025,Released,Order Payment,402-4968586-1636341,Spray Yara 100ml,25.03,0,-9.98,5.51,20.56
14/02/2025,Released,Order Payment,403-3750127-9898762,Spray Yara 100ml,24.81,0,-9.94,5.46,20.33
14/02/2025,Deferred,Order Payment,403-8622881-3683552,Lattafa Ansaam Silver EDP U 100 ml,31.5,0,-10.93,6.93,27.5
14/02/2025,Deferred,Order Payment,405-0688185-9496348,"Khamrah Naysah, Eau de parfum, 100 ml",23.77,0,-6.12,16.23,33.88
14/02/2025,Deferred,Order Payment,407-0165372-7105973,HAREEM AL SULTAN 75 ML EDP SPRAY,21.31,0,-5.66,15.69,31.34
14/02/2025,Deferred,Order Payment,405-8953156-2577123,"Khamrah Naysah, Eau de parfum, 100 ml",23.77,0,-6.12,16.23,33.88
14/02/2025,Deferred,Order Payment,408-5146737-0173905,HAREEM AL SULTAN 75 ML EDP SPRAY,21.31,0,-5.66,15.69,31.34
14/02/2025,Deferred,Order Payment,406-2146395-8431524,Spray Ajwaa 90ml,27.05,0,-10.1,5.95,22.9
14/02/2025,Released,Order Payment,407-7650301-4158743,Spray Yara 100ml,26.34,0,-10.23,5.8,21.91
14/02/2025,Released,Refund,402-2161532-7331561,Spray Yara 100ml,-24.67,0,3.71,-5.43,-26.39
14/02/2025,Released,Order Payment,408-6269502-6493164,Spray Yara 100ml,26.61,0,-10.02,5.86,22.45
14/02/2025,Released,Order Payment,171-4535872-2317964,Spray Yara 100ml,26.14,-1.63,-10.19,7.38,21.7
14/02/2025,Released,Order Payment,405-3760969-2163504,Spray Yara 100ml,26.47,-0.23,-9.99,6.05,22.3
14/02/2025,Released,Order Payment,408-7425612-1161931,Spray Yara 100ml,26.32,0,-10.23,5.79,21.88
